Time,616042,,616043,,616047,,616015,,616045,,616046,,616044,,
and,10,,10,,10,,10,,10,,10,,10,,
Date,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,Mean,Qual,
1/07/2023,10.162,99,10.12,99,10.086,99,10.052,99,10.058,99,10.057,99,10.105,99,Sites:
2/07/2023,10.158,99,10.116,99,10.082,99,10.051,99,10.058,99,10.054,99,10.101,99,616015 - POISON GULLY CREEK AT LITTLEFIELD RD Lat:-31.95365836 Long:116.00671139 Elev:40m
3/07/2023,10.254,99,10.185,99,10.186,99,10.115,99,10.083,99,10.127,99,10.151,99,616042 - YULE BROOK MAIN DRAIN AT BRIXTON STREET Lat:-32.02527778 Long:115.96722222 Elev:5m
4/07/2023,10.333,99,10.248,99,10.191,99,10.104,99,10.066,99,10.118,99,10.178,99,616043 - MILL ST MAIN DRAIN AT PALM PLACE Lat:-32.0164365 Long:115.91948758 Elev:4m
5/07/2023,10.271,99,10.2,99,10.194,99,10.093,99,10.072,99,10.108,99,10.183,99,616044 - NEERIGEN BROOK MAIN DRAIN AT ABBEY ROAD Lat:-32.15 Long:116.01083333 Elev:52m
6/07/2023,10.238,99,10.169,99,10.162,99,10.076,99,10.059,99,10.094,99,10.153,99,616045 - MT LAWLEY MAIN DRAIN AT MT LAWLEY Lat:-31.93899975 Long:115.87894569 Elev:0m
7/07/2023,10.22,99,10.149,99,10.163,99,10.082,99,10.062,99,10.105,99,10.146,99,616046 - WOODLUPINE BROOK AT HARTFIELD PARK Lat:-31.99871789 Long:115.989394 Elev:18m
8/07/2023,10.228,99,10.136,99,10.159,99,10.075,99,10.059,99,10.098,99,10.14,99,616047 - BICKLEY BROOK MAIN DRAIN AT AUSTIN AVE Lat:-32.04305556 Long:115.97619533 Elev:7m
9/07/2023,10.208,99,10.134,99,10.169,99,10.071,99,10.059,99,10.093,99,10.139,99,
10/07/2023,10.198,99,10.128,99,10.133,99,10.066,99,10.06,99,10.084,99,10.135,99,Variables:
11/07/2023,10.187,99,10.119,99,10.121,99,10.062,99,10.059,99,10.077,99,10.127,99,10 - Stage (Metres)
12/07/2023,10.18,99,10.12,99,10.113,99,10.06,99,10.059,99,10.073,99,10.124,99,
13/07/2023,10.2,99,10.133,99,10.131,99,10.083,99,10.061,99,10.101,99,10.138,99,Qualities:
14/07/2023,10.2,99,10.141,99,10.113,99,10.062,99,10.062,99,10.08,99,10.131,99,99 - Unvalidated Data
15/07/2023,10.182,99,10.134,99,10.101,99,10.056,99,10.059,99,10.071,99,10.118,99,255 - No data exists
16/07/2023,10.174,99,10.128,99,10.096,99,10.055,99,10.058,99,10.068,99,10.113,99,
17/07/2023,10.18,99,10.117,99,10.093,99,10.053,99,10.058,99,10.065,99,10.112,99,
