Time,509704,,509573,,509398,,509452,,509417,,509460,,509583,,509702,,509593,,509574,,W0034613,,509703,,509458,,509459,,509451,,
and,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,
Date,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,Total,Qual,
1/07/2023,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,Sites:
2/07/2023,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,509398 - BALLAJURA DRAIN AT BALLAJURA Lat:-31.82422531 Long:115.87203022 Elev:39m
3/07/2023,19.2,99,14,99,14.4,99,17.2,99,17.2,99,14.2,99,14.6,99,29.4,99,8.4,99,12.4,99,19.8,99,18.6,99,20.2,99,17,99,15.4,99,509417 - WOODBRIDGE CREEK AT BROWN PARK (P1) Lat:-31.89139964 Long:116.05242503 Elev:48m
4/07/2023,3.2,99,5.8,99,3.6,99,4.4,99,4,99,4.2,99,5.6,99,4.6,99,4,99,4.6,99,3.6,99,2.8,99,3.2,99,9.6,99,3.4,99,509452 - LESMURDIE BROOK  AT ORANGEDALE ROAD (P9) Lat:-32.00512639 Long:116.06025583 Elev:267m
5/07/2023,6.4,99,10.2,99,4.2,99,6.6,99,6.4,99,6.6,99,4.8,99,9.8,99,5.6,99,8.2,99,7.6,99,5.8,99,3.8,99,6.6,99,7.6,99,509460 - POISON GULLY AT MAIDA VALE (P6) Lat:-31.94755817 Long:116.02275322 Elev:51m
6/07/2023,0.8,99,0.8,99,1.4,99,0.6,99,0.2,99,0.4,99,1.4,99,3.6,99,0.2,99,0.8,99,0.8,99,0.4,99,0.2,99,0.8,99,0.6,99,509573 - LIGHT ST B.D. AT MORLEY Lat:-31.88916667 Long:115.88888889 Elev:24m
7/07/2023,2,99,3.6,99,2.6,99,7.6,99,2,99,2.6,99,5,99,1.6,99,1,99,2.6,99,2,99,1.4,99,3.6,99,1.6,99,4.6,99,509574 - BOORAGOON LAKE INFLOW  AT PINEY LAKES RESERVE Lat:-32.04752578 Long:115.84215361 Elev:20m
8/07/2023,0.8,99,0.2,99,0.2,99,2,99,0.2,99,0.4,99,1.6,99,2.4,99,3,99,1,99,0.6,99,0.6,99,0.2,99,1,99,1.2,99,509583 - MARKET GARDEN SWAMPS AT PACKHAM 1B DRAIN Lat:-32.11756731 Long:115.77915694 Elev:2m
9/07/2023,2,99,0.8,99,2.2,99,1,99,1,99,0.4,99,2.6,99,4,99,1.6,99,1.6,99,0.6,99,1,99,1,99,1.8,99,1.4,99,509593 - ESSEX ST MD AT FREMANTLE JAIL Lat:-32.05580011 Long:115.75392089 Elev:20m
10/07/2023,0.6,99,0.2,99,0.4,99,0,99,0.2,99,0,99,0,99,0.2,99,0.2,99,0.2,99,0,99,0,99,0,99,0,99,0,99,509702 - ROCKINGHAM MAIN DRAIN AT WENDO COURT Lat:-32.28388889 Long:115.76166667 Elev:8m
11/07/2023,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0.2,99,0,99,0,99,509704 - COLIN RD MAIN DRAIN AT COLIN RD COMP BASIN Lat:-31.89972222 Long:115.76666667 Elev:3m
12/07/2023,0,99,0.6,99,0.6,99,1.8,99,0.6,99,1.6,99,1.4,99,2.8,99,0.8,99,0,99,0,99,0.2,99,0,99,0.6,99,0.2,99,509451 - BICKLEY BROOK AT AUSTIN AVENUE (P10) Lat:-32.04166667 Long:115.9775 Elev:7m
13/07/2023,1.6,99,2.2,99,0.8,99,3.6,99,4.2,99,3.6,99,2.6,99,4.4,99,1.6,99,2,99,3.2,99,1.8,99,1.6,99,4.6,99,2.4,99,509458 - WOODLUPINE BROOK AT WELSHPOOL (P8) Lat:-32.00361111 Long:115.97694444 Elev:13m
14/07/2023,5.2,99,2.6,99,2.6,99,1.6,99,1,99,0.6,99,2.2,99,3,99,2.6,99,1.2,99,2.6,99,1.2,99,1.8,99,1.6,99,1,99,509459 - NEERIGEN BROOK AT ARMADALE (P5) Lat:-32.14961497 Long:116.0206035 Elev:63m
15/07/2023,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,509703 - MILLS ST MAIN DRAIN AT ELLAM ST EAST COMPENSATING BASIN Lat:-31.99611111 Long:115.9175 Elev:8m
16/07/2023,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,W0034613 - MT ELIZA FRASER AV KINGS PARK Lat:-31.958034068 Long:115.841474966 Elev:73m
17/07/2023,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,0,99,
18/07/2023,12.8,99,17.2,99,14,99,15,99,17.6,99,15.8,99,9.6,99,6,99,7.2,99,13.2,99,12.4,99,8.8,99,13.6,99,14.4,99,12.6,99,Variables:
19/07/2023,5.6,99,12.8,99,5,99,13.2,99,6.8,99,10.2,99,4.8,99,9,99,4,99,8.6,99,5.2,99,6.2,99,8.6,99,9.6,99,7.8,99,1 - Rainfall - Total (Millimetres)
